,Unnamed: 0,image_name,detected_num,time,counted_num,label_counted,label_detected,label_same
0,0,dublin_night0.png,19,Thu 2018-12-27 21:15:12,24,0.4-0.6,0.4-0.6,same
1,1,dublin_night1.png,18,Thu 2018-12-27 21:18:23,25,0.4-0.6,0.4-0.6,not same
2,2,dublin_night2.png,21,Thu 2018-12-27 21:21:31,40,0.8-1,0.6-0.8,not same
3,3,dublin_night3.png,23,Thu 2018-12-27 21:24:39,37,0.8-1,0.8-1,not same
4,4,dublin_night4.png,29,Thu 2018-12-27 21:27:47,40,0.8-1,0.8-1,not same
5,5,dublin_night5.png,22,Thu 2018-12-27 21:30:53,35,0.8-1,0.8-1,not same
6,6,dublin_night6.png,17,Thu 2018-12-27 21:33:59,30,0.8-1,0.2-0.4,not same
7,7,dublin_night7.png,17,Thu 2018-12-27 21:37:05,20,0.2-0.4,0.2-0.4,not same
8,8,dublin_night8.png,21,Thu 2018-12-27 21:40:10,26,0.6-0.8,0.6-0.8,same
9,9,dublin_night9.png,15,Thu 2018-12-27 21:43:16,30,0.8-1,0.2-0.4,not same
10,10,dublin_night10.png,19,Thu 2018-12-27 21:46:22,20,0.2-0.4,0.4-0.6,same
11,11,dublin_night11.png,17,Thu 2018-12-27 21:49:28,18,0.2-0.4,0.2-0.4,same
12,12,dublin_night12.png,25,Thu 2018-12-27 21:52:35,26,0.6-0.8,0.8-1,same
13,13,dublin_night13.png,17,Thu 2018-12-27 21:55:41,23,0.4-0.6,0.2-0.4,not same
14,14,dublin_night14.png,16,Thu 2018-12-27 21:58:49,19,0.2-0.4,0.2-0.4,not same
15,15,dublin_night15.png,10,Thu 2018-12-27 22:01:55,16,0-0.2,0-0.2,not same
16,16,dublin_night16.png,15,Thu 2018-12-27 22:05:00,18,0.2-0.4,0.2-0.4,not same
17,17,dublin_night17.png,19,Thu 2018-12-27 22:08:06,25,0.4-0.6,0.4-0.6,not same
18,18,dublin_night18.png,10,Thu 2018-12-27 22:11:12,18,0.2-0.4,0-0.2,not same
19,19,dublin_night19.png,18,Thu 2018-12-27 22:14:18,23,0.4-0.6,0.4-0.6,same
20,20,dublin_night20.png,22,Thu 2018-12-27 22:17:24,22,0.4-0.6,0.8-1,same
21,21,dublin_night21.png,17,Thu 2018-12-27 22:20:32,19,0.2-0.4,0.2-0.4,same
22,22,dublin_night22.png,16,Thu 2018-12-27 22:23:39,28,0.6-0.8,0.2-0.4,not same
23,23,dublin_night23.png,24,Thu 2018-12-27 22:26:44,30,0.8-1,0.8-1,not same
24,24,dublin_night24.png,23,Thu 2018-12-27 22:29:50,40,0.8-1,0.8-1,not same
25,25,dublin_night25.png,24,Thu 2018-12-27 22:32:56,26,0.6-0.8,0.8-1,same
26,26,dublin_night26.png,17,Thu 2018-12-27 22:36:02,28,0.6-0.8,0.2-0.4,not same
27,27,dublin_night27.png,20,Thu 2018-12-27 22:39:08,20,0.2-0.4,0.6-0.8,same
28,28,dublin_night28.png,18,Thu 2018-12-27 22:42:14,18,0.2-0.4,0.4-0.6,same
29,29,dublin_night29.png,22,Thu 2018-12-27 22:45:19,25,0.4-0.6,0.8-1,same
30,30,dublin_night30.png,19,Thu 2018-12-27 22:48:25,19,0.2-0.4,0.4-0.6,same
31,31,dublin_night31.png,17,Thu 2018-12-27 22:51:31,35,0.8-1,0.2-0.4,not same
32,32,dublin_night32.png,17,Thu 2018-12-27 22:54:37,25,0.4-0.6,0.2-0.4,not same
33,33,dublin_night33.png,19,Thu 2018-12-27 22:57:43,30,0.8-1,0.4-0.6,not same
34,34,dublin_night34.png,20,Thu 2018-12-27 23:00:48,26,0.6-0.8,0.6-0.8,not same
35,35,dublin_night35.png,21,Thu 2018-12-27 23:03:54,23,0.4-0.6,0.6-0.8,same
36,36,dublin_night36.png,19,Thu 2018-12-27 23:07:00,28,0.6-0.8,0.4-0.6,not same
37,37,dublin_night37.png,20,Thu 2018-12-27 23:10:05,20,0.2-0.4,0.6-0.8,same
38,38,dublin_night38.png,22,Thu 2018-12-27 23:13:11,24,0.4-0.6,0.8-1,same
39,39,dublin_night39.png,13,Thu 2018-12-27 23:16:17,15,0-0.2,0-0.2,same
40,40,dublin_night40.png,13,Thu 2018-12-27 23:19:23,13,0-0.2,0-0.2,same
41,41,dublin_night41.png,14,Thu 2018-12-27 23:22:28,14,0-0.2,0-0.2,same
42,42,dublin_night42.png,14,Thu 2018-12-27 23:25:34,14,0-0.2,0-0.2,same
43,43,dublin_night43.png,7,Thu 2018-12-27 23:28:39,9,0-0.2,0-0.2,same
44,44,dublin_night44.png,14,Thu 2018-12-27 23:31:45,20,0.2-0.4,0-0.2,not same
45,45,dublin_night45.png,10,Thu 2018-12-27 23:34:51,10,0-0.2,0-0.2,same
46,46,dublin_night46.png,14,Thu 2018-12-27 23:37:56,14,0-0.2,0-0.2,same
47,47,dublin_night47.png,10,Thu 2018-12-27 23:41:02,12,0-0.2,0-0.2,same
48,48,dublin_night48.png,11,Thu 2018-12-27 23:44:08,11,0-0.2,0-0.2,same
49,49,dublin_night49.png,16,Thu 2018-12-27 23:47:14,16,0-0.2,0.2-0.4,same
